h		Xi	APROXIMADO	REAL		ERRO		ERRO RELATIVO
0.2		0	1.00000		1.00000		0.00000		0.00000
	0.2	0.80000		0.81873		0.01873		0.02288
	0.4	0.64000		0.67032		0.03032		0.04523
	0.6	0.51200		0.54881		0.03681		0.06708
	0.8	0.40960		0.44933		0.03973		0.08842
	1.0	0.32768		0.36788		0.04020		0.10927
	1.2	0.26214		0.30119		0.03905		0.12965
	1.4	0.20972		0.24660		0.03688		0.14956
	1.6	0.16777		0.20190		0.03412		0.16902
	1.8	0.13422		0.16530		0.03108		0.18803
	2.0	0.10737		0.13534		0.02796		0.20661
	2.2	0.08590		0.11080		0.02490		0.22476
	2.4	0.06872		0.09072		0.02200		0.24249
	2.6	0.05498		0.07427		0.01930		0.25982
	2.8	0.04398		0.06081		0.01683		0.27676
	3.0	0.03518		0.04979		0.01460		0.29330
	3.2	0.02815		0.04076		0.01261		0.30947
	3.4	0.02252		0.03337		0.01086		0.32527
	3.6	0.01801		0.02732		0.00931		0.34070
	3.8	0.01441		0.02237		0.00796		0.35579
	4.0	0.01153		0.01832		0.00679		0.37053
	4.2	0.00922		0.01500		0.00577		0.38493
	4.4	0.00738		0.01228		0.00490		0.39900
	4.6	0.00590		0.01005		0.00415		0.41275
	4.8	0.00472		0.00823		0.00351		0.42618
	5.0	0.00378		0.00674		0.00296		0.43931
h		Xi	APROXIMADO	REAL		ERRO		ERRO RELATIVO
0.1		0	1.00000		1.00000		0.00000		0.00000
	0.1	0.90000		0.90484		0.00484		0.00535
	0.2	0.81000		0.81873		0.00873		0.01066
	0.3	0.72900		0.74082		0.01182		0.01595
	0.4	0.65610		0.67032		0.01422		0.02121
	0.5	0.59049		0.60653		0.01604		0.02645
	0.6	0.53144		0.54881		0.01737		0.03165
	0.7	0.47830		0.49659		0.01829		0.03683
	0.8	0.43047		0.44933		0.01886		0.04198
	0.9	0.38742		0.40657		0.01915		0.04710
	1.0	0.34868		0.36788		0.01920		0.05219
	1.1	0.31381		0.33287		0.01906		0.05726
	1.2	0.28243		0.30119		0.01876		0.06230
	1.3	0.25419		0.27253		0.01835		0.06731
	1.4	0.22877		0.24660		0.01783		0.07230
	1.5	0.20589		0.22313		0.01724		0.07726
	1.6	0.18530		0.20190		0.01659		0.08219
	1.7	0.16677		0.18268		0.01591		0.08710
	1.8	0.15009		0.16530		0.01520		0.09198
	1.9	0.13509		0.14957		0.01448		0.09683
	2.0	0.12158		0.13534		0.01376		0.10166
	2.1	0.10942		0.12246		0.01304		0.10647
	2.2	0.09848		0.11080		0.01233		0.11124
	2.3	0.08863		0.10026		0.01163		0.11599
	2.4	0.07977		0.09072		0.01095		0.12072
	2.5	0.07179		0.08208		0.01030		0.12542
	2.6	0.06461		0.07427		0.00966		0.13010
	2.7	0.05815		0.06721		0.00906		0.13475
	2.8	0.05233		0.06081		0.00848		0.13937
	2.9	0.04710		0.05502		0.00792		0.14397
	3.0	0.04239		0.04979		0.00740		0.14855
	3.1	0.03815		0.04505		0.00690		0.15310
	3.2	0.03434		0.04076		0.00643		0.15763
	3.3	0.03090		0.03688		0.00598		0.16213
	3.4	0.02781		0.03337		0.00556		0.16661
	3.5	0.02503		0.03020		0.00517		0.17107
	3.6	0.02253		0.02732		0.00480		0.17550
	3.7	0.02028		0.02472		0.00445		0.17991
	3.8	0.01825		0.02237		0.00412		0.18429
	3.9	0.01642		0.02024		0.00382		0.18865
	4.0	0.01478		0.01832		0.00353		0.19299
	4.1	0.01330		0.01657		0.00327		0.19731
	4.2	0.01197		0.01500		0.00302		0.20160
	4.3	0.01078		0.01357		0.00279		0.20587
	4.4	0.00970		0.01228		0.00258		0.21011
	4.5	0.00873		0.01111		0.00238		0.21433
	4.6	0.00786		0.01005		0.00220		0.21853
	4.7	0.00707		0.00910		0.00203		0.22271
	4.8	0.00636		0.00823		0.00187		0.22687
	4.9	0.00573		0.00745		0.00172		0.23100
	5.0	0.00515		0.00674		0.00158		0.23511
h		Xi	APROXIMADO	REAL		ERRO		ERRO RELATIVO
0.05		0	1.00000		1.00000		0.00000		0.00000
	0.05	0.95000		0.95123		0.00123		0.00129
	0.1	0.90250		0.90484		0.00234		0.00258
	0.15	0.85737		0.86071		0.00333		0.00387
	0.2	0.81451		0.81873		0.00422		0.00516
	0.25	0.77378		0.77880		0.00502		0.00645
	0.3	0.73509		0.74082		0.00573		0.00773
	0.35	0.69834		0.70469		0.00635		0.00901
	0.4	0.66342		0.67032		0.00690		0.01029
	0.45	0.63025		0.63763		0.00738		0.01157
	0.5	0.59874		0.60653		0.00779		0.01285
	0.55	0.56880		0.57695		0.00815		0.01413
	0.6	0.54036		0.54881		0.00845		0.01540
	0.65	0.51334		0.52205		0.00870		0.01667
	0.7	0.48767		0.49659		0.00891		0.01794
	0.75	0.46329		0.47237		0.00908		0.01921
	0.8	0.44013		0.44933		0.00920		0.02048
	0.85	0.41812		0.42741		0.00929		0.02175
	0.9	0.39721		0.40657		0.00936		0.02301
	0.95	0.37735		0.38674		0.00939		0.02427
	1.0	0.35849		0.36788		0.00939		0.02553
	1.05	0.34056		0.34994		0.00938		0.02679
	1.1	0.32353		0.33287		0.00934		0.02805
	1.15	0.30736		0.31664		0.00928		0.02931
	1.2	0.29199		0.30119		0.00921		0.03056
	1.25	0.27739		0.28650		0.00912		0.03182
	1.3	0.26352		0.27253		0.00901		0.03307
	1.35	0.25034		0.25924		0.00890		0.03432
	1.4	0.23783		0.24660		0.00877		0.03556
	1.45	0.22594		0.23457		0.00863		0.03681
	1.5	0.21464		0.22313		0.00849		0.03806
	1.55	0.20391		0.21225		0.00834		0.03930
	1.6	0.19371		0.20190		0.00819		0.04054
	1.65	0.18403		0.19205		0.00802		0.04178
	1.7	0.17482		0.18268		0.00786		0.04302
	1.75	0.16608		0.17377		0.00769		0.04426
	1.8	0.15778		0.16530		0.00752		0.04549
	1.85	0.14989		0.15724		0.00735		0.04673
	1.9	0.14240		0.14957		0.00717		0.04796
	1.95	0.13528		0.14227		0.00700		0.04919
	2.0	0.12851		0.13534		0.00682		0.05042
	2.05	0.12209		0.12873		0.00665		0.05164
	2.1	0.11598		0.12246		0.00647		0.05287
	2.15	0.11018		0.11648		0.00630		0.05409
	2.2	0.10467		0.11080		0.00613		0.05532
	2.25	0.09944		0.10540		0.00596		0.05654
	2.3	0.09447		0.10026		0.00579		0.05776
	2.35	0.08974		0.09537		0.00562		0.05897
	2.4	0.08526		0.09072		0.00546		0.06019
	2.45	0.08099		0.08629		0.00530		0.06141
	2.5	0.07694		0.08208		0.00514		0.06262
	2.55	0.07310		0.07808		0.00498		0.06383
	2.6	0.06944		0.07427		0.00483		0.06504
	2.65	0.06597		0.07065		0.00468		0.06625
	2.7	0.06267		0.06721		0.00453		0.06746
	2.75	0.05954		0.06393		0.00439		0.06866
	2.8	0.05656		0.06081		0.00425		0.06986
	2.85	0.05373		0.05784		0.00411		0.07107
	2.9	0.05105		0.05502		0.00398		0.07227
	2.95	0.04849		0.05234		0.00385		0.07347
	3.0	0.04607		0.04979		0.00372		0.07466
	3.05	0.04377		0.04736		0.00359		0.07586
	3.1	0.04158		0.04505		0.00347		0.07705
	3.15	0.03950		0.04285		0.00335		0.07825
	3.2	0.03752		0.04076		0.00324		0.07944
	3.25	0.03565		0.03877		0.00313		0.08063
	3.3	0.03387		0.03688		0.00302		0.08182
	3.35	0.03217		0.03508		0.00291		0.08300
	3.4	0.03056		0.03337		0.00281		0.08419
	3.45	0.02904		0.03175		0.00271		0.08537
	3.5	0.02758		0.03020		0.00261		0.08655
	3.55	0.02620		0.02872		0.00252		0.08773
	3.6	0.02489		0.02732		0.00243		0.08891
	3.65	0.02365		0.02599		0.00234		0.09009
	3.7	0.02247		0.02472		0.00226		0.09127
	3.75	0.02134		0.02352		0.00217		0.09244
	3.8	0.02028		0.02237		0.00209		0.09361
	3.85	0.01926		0.02128		0.00202		0.09479
	3.9	0.01830		0.02024		0.00194		0.09596
	3.95	0.01738		0.01925		0.00187		0.09712
	4.0	0.01652		0.01832		0.00180		0.09829
	4.05	0.01569		0.01742		0.00173		0.09946
	4.1	0.01491		0.01657		0.00167		0.10062
	4.15	0.01416		0.01576		0.00160		0.10178
	4.2	0.01345		0.01500		0.00154		0.10294
	4.25	0.01278		0.01426		0.00148		0.10410
	4.3	0.01214		0.01357		0.00143		0.10526
	4.35	0.01153		0.01291		0.00137		0.10642
	4.4	0.01096		0.01228		0.00132		0.10757
	4.45	0.01041		0.01168		0.00127		0.10873
	4.5	0.00989		0.01111		0.00122		0.10988
	4.55	0.00939		0.01057		0.00117		0.11103
	4.6	0.00892		0.01005		0.00113		0.11218
	4.65	0.00848		0.00956		0.00108		0.11332
	4.7	0.00805		0.00910		0.00104		0.11447
	4.75	0.00765		0.00865		0.00100		0.11562
	4.8	0.00727		0.00823		0.00096		0.11676
	4.85	0.00691		0.00783		0.00092		0.11790
	4.9	0.00656		0.00745		0.00089		0.11904
	4.95	0.00623		0.00708		0.00085		0.12018
	5.0	0.00592		0.00674		0.00082		0.12132
